순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
124,김영규,23N, 71.0 , 63 , 61.2 , 3.06 , 1.10 , 30.4 , 71.0 , 6 , 37 , 16.2 , 2 , 3 , 40.0 , 9 , 60.0 , 3 , 42.9 , 20 , 24.4 
125,김태현,23N, 70.9 , 16 , 20.1 , 4.43 , 1.48 , 32.3 , 70.9 , 2 , 16 , 12.5 , 0 , 1 , 0.0 , 1 , 25.0 , 1 , 100.0 , 5 , 15.6 
126,이병헌,23두, 70.8 , 36 , 27.0 , 4.67 , 1.74 , 29.2 , 70.8 , 2 , 39 , 5.1 , 1 , 0 , 100.0 , 8 , 100.0 , 3 , 50.0 , 11 , 17.2 
127,백정현,23삼, 70.7 , 18 , 100.2 , 3.67 , 1.29 , 31.5 , 70.7 , 6 , 80 , 7.5 , 7 , 5 , 58.3 , 16 , 69.6 , 5 , 55.6 , 36 , 23.4 
128,최승용,23두, 70.7 , 34 , 111.0 , 3.97 , 1.35 , 31.8 , 70.7 , 10 , 104 , 9.6 , 7 , 7 , 50.0 , 16 , 61.5 , 7 , 41.2 , 39 , 19.5 
129,이의리,23K, 70.6 , 28 , 131.2 , 3.96 , 1.49 , 28.4 , 70.6 , 9 , 150 , 6.0 , 7 , 3 , 70.0 , 24 , 68.6 , 11 , 45.8 , 49 , 21.1 
130,백승건,23S, 70.5 , 25 , 38.0 , 4.97 , 1.53 , 36.2 , 70.5 , 0 , 34 , 0.0 , 2 , 0 , 100.0 , 6 , 85.7 , 1 , 20.0 , 10 , 17.2 
131,김명신,23두, 70.4 , 70 , 79.0 , 3.65 , 1.25 , 30.5 , 70.4 , 5 , 64 , 7.8 , 4 , 2 , 66.7 , 11 , 64.7 , 5 , 62.5 , 27 , 22.3 
132,배제성,23K, 70.4 , 26 , 130.1 , 4.49 , 1.70 , 29.1 , 70.4 , 16 , 147 , 10.9 , 9 , 4 , 69.2 , 27 , 67.5 , 12 , 54.6 , 57 , 21.1 
133,문성현,23키, 70.1 , 32 , 28.1 , 4.13 , 1.59 , 27.7 , 70.1 , 1 , 29 , 3.5 , 5 , 2 , 71.4 , 9 , 64.3 , 2 , 50.0 , 16 , 30.2 
134,박세웅,23롯, 70.1 , 27 , 154.0 , 3.45 , 1.33 , 28.4 , 70.1 , 9 , 128 , 7.0 , 6 , 6 , 50.0 , 19 , 61.3 , 14 , 70.0 , 59 , 25.8 
135,이태양,23한, 70.1 , 50 , 100.1 , 3.23 , 1.20 , 29.0 , 70.1 , 5 , 87 , 5.8 , 7 , 4 , 63.6 , 16 , 48.5 , 6 , 54.6 , 34 , 20.6 
136,김범수,23한, 69.9 , 76 , 62.1 , 4.19 , 1.56 , 29.0 , 69.9 , 4 , 69 , 5.8 , 2 , 7 , 22.2 , 13 , 46.4 , 5 , 50.0 , 36 , 26.9 
137,뷰캐넌,23삼, 69.9 , 30 , 188.0 , 2.54 , 1.15 , 23.8 , 69.9 , 12 , 165 , 7.3 , 8 , 9 , 47.1 , 28 , 63.6 , 14 , 48.3 , 70 , 23.3 
