순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
259,윤명준,23롯, -1.07 , 21 , 19.1 , -6.31 , -1.50 , -7.81 , -0.79 , -0.99 , -0.08 , 1.40 , -2.47 , -1.07 , 1.05 , -0.70 , -0.32 
260,홍정우,23삼, -1.07 , 36 , 36.0 , -0.30 , -2.28 , -2.57 , -0.26 , -0.92 , -0.15 , 2.59 , -3.66 , -1.07 , 1.09 , -0.54 , -0.45 
261,홍건희,23두, -1.08 , 64 , 61.2 , 5.23 , -3.72 , 1.51 , 0.15 , -0.26 , -0.82 , 7.01 , -8.10 , -1.08 , 1.61 , -0.53 , -0.14 
262,김민,23K, -1.13 , 16 , 29.0 , -7.90 , -0.58 , -8.48 , -0.86 , -1.16 , 0.03 , 1.13 , -2.26 , -1.13 , 0.66 , -0.67 , -1.06 
263,이영하,23두, -1.15 , 36 , 39.1 , -3.96 , -0.71 , -4.67 , -0.47 , -1.12 , -0.02 , 2.70 , -3.85 , -1.15 , 0.97 , -0.42 , -0.76 
264,하준영,23N, -1.15 , 57 , 49.0 , 0.16 , -0.07 , 0.09 , 0.01 , -1.12 , -0.03 , 2.15 , -3.31 , -1.15 , 0.70 , -0.11 , -1.53 
265,이명종,23키, -1.16 , 45 , 57.0 , 1.33 , -1.12 , 0.21 , 0.02 , -1.12 , -0.04 , 3.84 , -5.00 , -1.16 , 0.94 , -0.47 , -0.76 
266,김동혁,23키, -1.16 , 35 , 39.1 , -7.98 , -1.85 , -9.83 , -0.99 , -0.90 , -0.26 , 2.99 , -4.15 , -1.16 , 1.03 , -1.00 , -0.14 
267,오원석,23S, -1.20 , 28 , 144.2 , -4.26 , -3.34 , -7.60 , -0.77 , -0.70 , -0.49 , 12.19 , -13.39 , -1.20 , 1.15 , -0.85 , -0.19 
268,양현,23키, -1.25 , 54 , 57.0 , -10.45 , 0.90 , -9.56 , -0.97 , -1.34 , 0.09 , 3.59 , -4.84 , -1.25 , 0.88 , -1.11 , -0.32 
269,김도규,23롯, -1.28 , 36 , 29.2 , 2.05 , -2.05 , -0.00 , -0.00 , -1.00 , -0.29 , 1.59 , -2.87 , -1.28 , 0.92 , -0.02 , -1.37 
270,남지민,23한, -1.29 , 16 , 37.2 , -10.35 , -1.80 , -12.15 , -1.23 , -1.15 , -0.14 , 2.70 , -4.00 , -1.29 , 1.03 , -0.75 , -0.50 
271,송명기,23N, -1.33 , 35 , 104.1 , -4.36 , -1.41 , -5.77 , -0.58 , -1.19 , -0.13 , 6.55 , -7.88 , -1.33 , 0.85 , -1.07 , -0.50 
272,김대우,23삼, -1.38 , 44 , 64.0 , -6.55 , 0.88 , -5.66 , -0.57 , -1.46 , 0.07 , 4.08 , -5.46 , -1.38 , 0.94 , -0.57 , -0.91 
273,이인복,23롯, -1.39 , 10 , 33.1 , -16.22 , -0.13 , -16.36 , -1.65 , -1.46 , 0.06 , 2.37 , -3.76 , -1.39 , 0.98 , -1.21 , -0.22 
274,박종훈,23S, -1.45 , 18 , 80.0 , -12.81 , -3.03 , -15.84 , -1.60 , -1.15 , -0.30 , 5.84 , -7.29 , -1.45 , 0.97 , -1.34 , -0.15 
275,김시훈,23N, -1.51 , 61 , 52.2 , -5.08 , -0.13 , -5.21 , -0.53 , -1.50 , -0.01 , 4.90 , -6.40 , -1.51 , 1.25 , -0.96 , -0.25 
276,이승현,23삼, -1.60 , 48 , 43.1 , -2.90 , 0.56 , -2.34 , -0.24 , -1.61 , 0.01 , 4.85 , -6.45 , -1.60 , 1.55 , -0.73 , -0.30 
277,김민우,23한, -1.61 , 12 , 51.2 , -13.74 , -0.88 , -14.61 , -1.48 , -1.56 , -0.04 , 3.62 , -5.23 , -1.61 , 0.94 , -1.33 , -0.37 
278,최채흥,23삼, -1.62 , 15 , 63.1 , -12.01 , -0.28 , -12.29 , -1.24 , -1.58 , -0.04 , 4.07 , -5.69 , -1.62 , 0.88 , -1.67 , -0.17 
279,메디나,23K, -1.67 , 12 , 58.0 , -5.79 , -3.20 , -8.98 , -0.91 , -1.35 , -0.31 , 3.79 , -5.46 , -1.67 , 0.91 , -1.26 , -0.56 
280,한승혁,23한, -1.69 , 21 , 36.1 , -14.85 , 0.63 , -14.22 , -1.44 , -1.65 , -0.04 , 1.87 , -3.56 , -1.69 , 0.78 , -0.98 , -1.17 
281,맥키니,23키, -1.70 , 12 , 59.1 , -13.60 , 0.95 , -12.65 , -1.28 , -1.67 , -0.03 , 4.26 , -5.96 , -1.70 , 0.98 , -1.32 , -0.43 
282,한현희,23롯, -1.78 , 38 , 104.0 , -8.67 , 0.99 , -7.67 , -0.78 , -1.75 , -0.03 , 7.74 , -9.53 , -1.78 , 1.00 , -2.04 , 0.25 
283,정우영,23L, -1.82 , 60 , 51.2 , -7.87 , -3.46 , -11.34 , -1.15 , -1.47 , -0.35 , 4.48 , -6.29 , -1.82 , 1.17 , -0.59 , -0.97 
284,문승원,23S, -1.88 , 50 , 105.0 , -7.80 , -0.52 , -8.33 , -0.84 , -1.85 , -0.04 , 9.22 , -11.10 , -1.88 , 1.17 , -1.88 , 0.27 
285,김태훈,23키삼, -2.33 , 71 , 63.1 , -13.82 , 0.56 , -13.27 , -1.34 , -2.43 , 0.09 , 5.74 , -8.07 , -2.33 , 1.26 , -1.52 , -0.33 
