순,이름,팀/포지션,정렬용,출장,이닝,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,BABIP
167,김원중,23롯, .327 , 63 , 63.2 , 43.3 , 22.0 , 34.7 , 43.3 , 34.7 , 65 , 33 , 52 , 65 , 52 , 17 , 14 , 20 , 19 , 18 , .262 , .424 , .385 , .292 , .346 , .327 
168,김건국,23K, .327 , 6 , 16.0 , 33.3 , 29.6 , 37.0 , 33.3 , 37.0 , 18 , 16 , 20 , 18 , 20 , 4 , 7 , 7 , 4 , 7 , .222 , .438 , .350 , .222 , .350 , .327 
,오상원,23키, .327 , 11 , 15.0 , 36.4 , 23.6 , 40.0 , 36.4 , 40.0 , 20 , 13 , 22 , 20 , 22 , 7 , 7 , 4 , 6 , 5 , .350 , .539 , .182 , .300 , .227 , .327 
170,장민재,23한, .328 , 25 , 69.0 , 38.5 , 28.6 , 32.9 , 43.7 , 27.7 , 82 , 61 , 70 , 93 , 59 , 25 , 27 , 27 , 35 , 17 , .305 , .443 , .386 , .376 , .288 , .328 
171,반즈,23롯, .329 , 30 , 170.1 , 43.2 , 23.3 , 33.5 , 38.3 , 38.5 , 217 , 117 , 168 , 192 , 193 , 84 , 49 , 38 , 65 , 57 , .387 , .419 , .226 , .339 , .295 , .329 
172,최성영,23N, .330 , 18 , 66.2 , 37.2 , 23.7 , 39.1 , 33.5 , 42.8 , 80 , 51 , 84 , 72 , 92 , 26 , 22 , 29 , 26 , 29 , .325 , .431 , .345 , .361 , .315 , .330 
173,박정수,23두, .330 , 25 , 36.2 , 40.0 , 21.8 , 38.2 , 40.0 , 38.2 , 44 , 24 , 42 , 44 , 42 , 15 , 10 , 12 , 13 , 14 , .341 , .417 , .286 , .296 , .333 , .330 
174,이선우,23K, .331 , 22 , 37.1 , 36.9 , 25.4 , 37.7 , 32.3 , 42.3 , 48 , 33 , 49 , 42 , 55 , 9 , 19 , 19 , 13 , 15 , .188 , .576 , .388 , .310 , .273 , .331 
175,임창민,23키, .331 , 51 , 46.2 , 35.2 , 24.1 , 40.7 , 33.8 , 42.1 , 51 , 35 , 59 , 49 , 61 , 16 , 16 , 19 , 14 , 21 , .314 , .457 , .322 , .286 , .344 , .331 
176,진해수,23L, .333 , 19 , 14.2 , 30.6 , 34.7 , 34.7 , 26.5 , 38.8 , 15 , 17 , 17 , 13 , 19 , 8 , 7 , 3 , 5 , 6 , .533 , .412 , .177 , .385 , .316 , .333 
,김창훈,23롯, .333 , 3 , 4.1 , 20.0 , 20.0 , 60.0 , 40.0 , 40.0 , 3 , 3 , 9 , 6 , 6 , 1 , 3 , 1 , 1 , 1 , .333 , 1.000 , .111 , .167 , .167 , .333 
,김대유,23K, .333 , 41 , 24.2 , 26.0 , 19.2 , 54.8 , 42.5 , 38.4 , 19 , 14 , 40 , 31 , 28 , 6 , 4 , 16 , 9 , 13 , .316 , .286 , .400 , .290 , .464 , .333 
,스미스,23한, .333 , 1 , 2.2 , 55.6 , 11.1 , 33.3 , 33.3 , 55.6 , 5 , 1 , 3 , 3 , 5 , 2 , 0 , 1 , 1 , 2 , .400 , .000 , .333 , .333 , .400 , .333 
,우강훈,23롯, .333 , 3 , 6.0 , 38.9 , 22.2 , 38.9 , 27.8 , 50.0 , 7 , 4 , 7 , 5 , 9 , 0 , 2 , 4 , 0 , 4 , .000 , .500 , .571 , .000 , .444 , .333 
,장세진,23롯, .333 , 2 , 1.1 , 0.0 , 25.0 , 75.0 , 75.0 , 0.0 , 0 , 1 , 3 , 3 , 0 , 0 , 0 , 2 , 2 , 0 ,  , .000 , .667 , .667 ,  , .333 
,박진,23롯, .333 , 4 , 5.0 , 47.4 , 5.3 , 47.4 , 52.6 , 42.1 , 9 , 1 , 9 , 10 , 8 , 3 , 0 , 4 , 5 , 2 , .333 , .000 , .444 , .500 , .250 , .333 
,이승진,23두, .333 , 1 , 0.2 , 33.3 , 33.3 , 33.3 , 33.3 , 33.3 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , .000 , .000 , 1.000 , .000 , 1.000 , .333 
,김동규,23L키, .333 , 4 , 4.1 , 26.7 , 26.7 , 46.7 , 26.7 , 46.7 , 4 , 4 , 7 , 4 , 7 , 1 , 3 , 2 , 1 , 2 , .250 , .750 , .286 , .250 , .286 , .333 
