순,이름,팀/포지션,정렬용,출장,이닝,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%
,이의리,23K, 146.0 , 28 , 131.2 , 146.0 , 132.2 , 123.9 , 132.8 ,  ,  ,  ,  , 59.3 , 21.6 , 7.5 , 11.6 , 0.0 , 0.0 , 0.0 , 0.0 , 57.6 , 27.9 , 39.7 , 82.1 , 59.0 , 72.3 , 39.9 
,장시환,23한, 146.0 , 39 , 34.2 , 146.0 , 137.9 , 121.4 ,  , 136.1 ,  ,  ,  , 47.8 , 18.4 , 30.4 , 0.0 , 3.3 , 0.0 , 0.0 , 0.0 , 63.3 , 23.7 , 41.1 , 88.0 , 62.0 , 79.7 , 44.1 
,이상규,23L, 146.0 , 8 , 7.2 , 146.0 , 132.0 , 116.7 , 133.0 , 129.9 , 142.7 ,  ,  , 0.7 , 27.8 , 14.6 , 0.7 , 4.6 , 51.7 , 0.0 , 0.0 , 66.1 , 27.8 , 43.4 , 95.1 , 76.0 , 87.9 , 40.8 
,정성종,23롯, 146.0 , 12 , 22.0 , 146.0 , 129.0 , 119.0 , 133.0 , 131.3 , 145.5 ,  ,  , 62.8 , 18.5 , 0.3 , 0.9 , 15.2 , 2.3 , 0.0 , 0.0 , 72.8 , 24.2 , 43.4 , 86.9 , 78.0 , 83.9 , 39.7 
,김주온,23S, 146.0 , 1 , 0.1 , 146.0 , 136.1 ,  ,  ,  ,  ,  ,  , 14.3 , 85.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 80.0 , 22.2 , 42.9 , 100.0 , 50.0 , 83.3 , 35.7 
50,홍건희,23두, 145.9 , 64 , 61.2 , 145.9 , 134.7 , 118.9 ,  , 135.8 ,  ,  ,  , 55.5 , 40.1 , 2.8 , 0.0 , 1.5 , 0.0 , 0.0 , 0.0 , 71.7 , 32.2 , 48.5 , 87.0 , 58.3 , 75.8 , 41.4 
51,쿠에바스,23K, 145.8 , 18 , 114.1 , 145.8 , 136.7 , 128.3 , 132.9 ,  , 144.1 ,  ,  , 34.1 , 36.9 , 12.0 , 15.3 , 0.0 , 1.7 , 0.0 , 0.0 , 64.5 , 32.0 , 47.3 , 84.8 , 57.8 , 75.1 , 47.1 
,박세웅,23롯, 145.8 , 27 , 154.0 , 145.8 , 135.3 , 122.4 ,  , 130.1 ,  ,  ,  , 40.1 , 23.9 , 22.3 , 0.0 , 13.7 , 0.0 , 0.0 , 0.0 , 63.7 , 30.8 , 44.4 , 87.9 , 63.7 , 78.0 , 41.3 
,최지민,23K, 145.8 , 58 , 59.1 , 145.8 , 132.2 , 145.0 , 133.3 ,  ,  ,  ,  , 63.5 , 26.5 , 0.1 , 9.9 , 0.0 , 0.0 , 0.0 , 0.0 , 61.8 , 30.3 , 42.9 , 88.5 , 63.1 , 77.8 , 40.1 
,최원태,23키L, 145.8 , 26 , 146.2 , 145.8 , 137.4 , 123.5 , 129.9 ,  , 144.6 ,  ,  , 9.9 , 30.6 , 14.4 , 18.7 , 0.0 , 26.4 , 0.0 , 0.0 , 69.0 , 33.0 , 49.4 , 88.1 , 67.5 , 80.6 , 45.5 
55,구승민,23롯, 145.7 , 67 , 63.2 , 145.7 , 134.9 , 123.0 ,  , 132.7 ,  ,  ,  , 44.0 , 9.6 , 0.2 , 0.0 , 46.2 , 0.0 , 0.0 , 0.0 , 68.6 , 28.3 , 44.2 , 83.3 , 68.0 , 77.4 , 39.5 
,한재승,23N, 145.7 , 11 , 9.2 , 145.7 , 131.3 , 123.0 ,  , 132.4 ,  ,  ,  , 64.5 , 30.1 , 0.5 , 0.0 , 4.9 , 0.0 , 0.0 , 0.0 , 69.9 , 23.6 , 42.1 , 82.4 , 65.4 , 76.6 , 39.9 
,최이준,23롯, 145.7 , 28 , 29.0 , 145.7 , 132.1 , 120.3 , 131.6 ,  ,  ,  ,  , 58.3 , 21.5 , 14.1 , 6.1 , 0.0 , 0.0 , 0.0 , 0.0 , 67.1 , 21.5 , 40.3 , 88.1 , 72.5 , 83.2 , 41.2 
,김민,23K, 145.7 , 16 , 29.0 , 145.7 , 131.0 , 129.0 , 135.4 , 134.5 , 142.2 ,  ,  , 39.5 , 44.0 , 0.8 , 2.3 , 0.4 , 13.0 , 0.0 , 0.0 , 62.0 , 29.3 , 42.7 , 93.9 , 65.6 , 82.4 , 41.0 
59,박영현,23K, 145.6 , 68 , 75.1 , 145.6 , 127.6 ,  , 126.4 ,  ,  ,  ,  , 60.2 , 11.2 , 0.0 , 28.7 , 0.0 , 0.0 , 0.0 , 0.0 , 65.0 , 30.5 , 46.7 , 80.2 , 71.6 , 77.2 , 47.0 
,맥카티,23S, 145.6 , 24 , 130.0 , 145.6 , 136.0 , 119.5 , 133.7 , 134.7 ,  ,  ,  , 40.1 , 39.7 , 13.2 , 6.7 , 0.3 , 0.0 , 0.0 , 0.0 , 64.1 , 29.4 , 45.1 , 85.5 , 66.8 , 78.8 , 45.4 
,박명근,23L, 145.6 , 57 , 51.1 , 145.6 , 128.0 , 119.1 , 129.9 ,  ,  ,  ,  , 57.2 , 3.7 , 17.5 , 21.6 , 0.0 , 0.0 , 0.0 , 0.0 , 70.9 , 29.8 , 46.5 , 84.0 , 71.4 , 79.2 , 40.8 
,강효종,23L, 145.6 , 7 , 21.2 , 145.6 , 135.1 , 128.5 , 137.0 ,  ,  ,  ,  , 44.5 , 38.7 , 13.9 , 2.9 , 0.0 , 0.0 , 0.0 , 0.0 , 63.0 , 26.8 , 41.5 , 94.7 , 70.4 , 85.4 , 40.6 
63,노경은,23S, 145.5 , 76 , 83.0 , 145.5 , 136.5 , 113.4 , 132.0 , 132.2 , 143.8 , 107.1 ,  , 28.6 , 25.2 , 4.4 , 0.1 , 28.0 , 13.3 , 0.5 , 0.0 , 70.2 , 33.2 , 48.6 , 85.1 , 65.2 , 77.2 , 41.8 
,최준용,23롯, 145.5 , 47 , 47.2 , 145.5 , 129.3 , 121.0 , 133.4 ,  ,  ,  ,  , 54.2 , 4.3 , 13.9 , 27.6 , 0.0 , 0.0 , 0.0 , 0.0 , 69.4 , 27.4 , 46.6 , 82.8 , 66.4 , 77.6 , 45.8 
