순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
55,태너,23N, 1.47 , 11 , 64.2 , 6.36 ,  , 6.36 , 8.04 , 0.00 , 10.06 , 16.41 ,  , 16.41 , 0.61 ,  , 0.61 , 1.47 ,  , 1.47 , 1.47 , 1.47 
56,수아레즈,23삼, 1.46 , 19 , 108.0 , 1.32 ,  , 1.32 , 14.00 , 0.00 , 17.50 , 18.82 ,  , 18.82 , 0.02 ,  , 0.02 , 1.46 ,  , 1.46 , 1.46 , 1.46 
57,김동주,23두, 1.29 , 18 , 78.1 , 2.46 , 1.10 , 3.56 , 9.84 , 0.24 , 12.47 , 14.75 , 0.83 , 15.59 , 0.17 , 0.07 , 0.24 , 1.19 , 0.09 , 1.29 , 1.29 , 1.29 
58,신민혁,23N, 1.22 , 29 , 122.0 , -2.72 , 0.16 , -2.55 , 14.72 , 1.30 , 19.30 , 15.69 , 0.99 , 16.68 , -0.39 , -0.02 , -0.41 , 1.10 , 0.11 , 1.22 , 1.22 , 1.22 
59,김상수,23롯, 1.21 , 66 , 52.0 ,  , 5.61 , 5.61 , 0.00 , 6.73 , 9.75 ,  , 16.26 , 16.26 , 0.00 , 0.51 , 0.51 , 0.00 , 1.21 , 1.21 , 1.21 , 1.21 
60,이용찬,23N, 1.18 , 60 , 61.0 ,  , 3.76 , 3.76 , 0.00 , 7.91 , 14.06 ,  , 19.40 , 19.40 , 0.00 , 0.37 , 0.37 , 0.00 , 1.18 , 1.18 , 1.18 , 1.18 
61,홍건희,23두, 1.18 , 64 , 61.2 ,  , 4.02 , 4.02 , 0.00 , 8.00 , 13.04 ,  , 18.28 , 18.28 , 0.00 , 0.35 , 0.35 , 0.00 , 1.18 , 1.18 , 1.18 , 1.18 
62,박치국,23두, 1.16 , 62 , 52.2 ,  , 5.18 , 5.18 , 0.00 , 6.82 , 9.84 ,  , 15.82 , 15.82 , 0.00 , 0.46 , 0.46 , 0.00 , 1.16 , 1.16 , 1.16 , 1.16 
63,정철원,23두, 1.13 , 67 , 72.2 ,  , 2.72 , 2.72 , 0.00 , 9.44 , 16.21 ,  , 19.95 , 19.95 , 0.00 , 0.16 , 0.16 , 0.00 , 1.13 , 1.13 , 1.13 , 1.13 
64,김성진,23키, 1.11 , 55 , 47.0 ,  , 6.45 , 6.45 , 0.00 , 6.07 , 7.12 ,  , 13.16 , 13.16 , 0.00 , 0.48 , 0.48 , 0.00 , 1.11 , 1.11 , 1.11 , 1.11 
65,윤대경,23한, 1.11 , 47 , 47.2 ,  , 7.25 , 7.25 , 0.00 , 6.14 , 6.31 ,  , 12.27 , 12.27 , 0.00 , 0.47 , 0.47 , 0.00 , 1.11 , 1.11 , 1.11 , 1.11 
66,배제성,23K, 1.03 , 26 , 130.1 , -4.48 , -1.82 , -6.29 , 16.44 , 0.84 , 21.23 , 16.07 , -0.50 , 15.57 , -0.58 , -0.13 , -0.71 , 1.08 , -0.05 , 1.03 , 1.03 , 1.03 
67,이승현,23삼, 1.03 , 60 , 60.0 ,  , 3.80 , 3.80 , 0.00 , 7.78 , 10.16 ,  , 14.13 , 14.13 , 0.00 , 0.23 , 0.23 , 0.00 , 1.03 , 1.03 , 1.03 , 1.03 
68,한승주,23한, 1.02 , 47 , 70.2 , -4.35 , 7.91 , 3.56 , 2.84 , 6.42 , 10.11 , -0.79 , 13.02 , 12.22 , -0.44 , 0.52 , 0.08 , -0.17 , 1.19 , 1.02 , 1.02 , 1.02 
69,김윤식,23L, 1.00 , 17 , 74.2 , -0.88 , 1.35 , 0.47 , 9.42 , 0.31 , 12.23 , 10.90 , 2.03 , 12.93 , -0.16 , 0.17 , 0.01 , 0.80 , 0.21 , 1.00 , 1.00 , 1.00 
70,김재웅,23키, 1.00 , 67 , 59.2 ,  , 2.81 , 2.81 , 0.00 , 7.75 , 12.80 ,  , 16.51 , 16.51 , 0.00 , 0.20 , 0.20 , 0.00 , 1.00 , 1.00 , 1.00 , 1.00 
