순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
210,고봉재,23두, 4.09 , 10 , 11.1 , 53 , 217 , 4.09 , 29.6 , 6.4 , 33.6 , 30.4 , 57.6 , 42.4 , 40.6 , 18.9 , 9.1 , 4.5 , 81.6 , 32.1 , 5 , 2 , 28.6 , 66 , 5 , 7.6 
211,이병헌,23두, 4.10 , 36 , 27.0 , 126 , 516 , 4.10 , 27.0 , 19.3 , 28.4 , 25.3 , 57.4 , 42.6 , 41.9 , 29.4 , 26.4 , 12.9 , 66.7 , 45.8 , 20 , 8 , 28.6 , 147 , 11 , 7.5 
212,함덕주,23L, 4.10 , 57 , 55.2 , 222 , 910 , 4.10 , 31.3 , 18.8 , 25.3 , 24.6 , 62.1 , 37.9 , 42.6 , 25.2 , 27.3 , 13.8 , 67.8 , 34.7 , 45 , 14 , 23.7 , 318 , 22 , 6.9 
213,페디,23N, 4.10 , 30 , 180.1 , 708 , 2904 , 4.10 , 31.2 , 16.5 , 28.1 , 24.2 , 65.4 , 34.6 , 45.0 , 29.7 , 24.0 , 12.8 , 66.3 , 36.6 , 158 , 51 , 24.4 , 672 , 42 , 6.3 
214,김승현,23K, 4.11 , 10 , 12.2 , 57 , 234 , 4.11 , 25.6 , 11.6 , 32.6 , 30.2 , 55.1 , 44.9 , 41.0 , 29.8 , 15.6 , 7.7 , 81.6 , 39.7 , 4 , 3 , 42.9 , 112 , 7 , 6.3 
215,문동주,23한, 4.11 , 23 , 118.2 , 503 , 2067 , 4.11 , 29.8 , 15.0 , 27.4 , 27.8 , 63.0 , 37.0 , 44.2 , 26.2 , 21.3 , 11.4 , 77.2 , 36.2 , 72 , 23 , 24.2 , 627 , 44 , 7.0 
,손주영,23L, 4.11 , 3 , 8.2 , 46 , 189 , 4.11 , 25.4 , 14.9 , 29.0 , 30.7 , 60.3 , 39.7 , 45.0 , 32.6 , 20.0 , 11.0 , 86.1 , 30.8 , 3 , 2 , 40.0 , 43 , 5 , 11.6 
217,박세진,23K, 4.12 , 16 , 11.2 , 66 , 272 , 4.12 , 28.6 , 13.6 , 30.5 , 27.3 , 56.6 , 43.4 , 40.4 , 27.3 , 19.1 , 9.1 , 76.7 , 41.1 , 7 , 3 , 30.0 , 66 , 7 , 10.6 
218,구창모,23N, 4.12 , 11 , 51.2 , 205 , 845 , 4.12 , 30.1 , 19.6 , 26.7 , 23.7 , 66.5 , 33.5 , 46.5 , 29.3 , 28.0 , 15.5 , 70.8 , 28.4 , 43 , 13 , 23.2 , 271 , 13 , 4.8 
219,황동재,23삼, 4.12 , 7 , 31.2 , 155 , 639 , 4.12 , 23.7 , 15.7 , 32.5 , 28.0 , 58.7 , 41.3 , 44.8 , 24.5 , 20.6 , 11.1 , 75.5 , 37.9 , 22 , 5 , 18.5 , 164 , 12 , 7.3 
220,진해수,23L, 4.13 , 19 , 14.2 , 72 , 297 , 4.13 , 31.3 , 12.9 , 27.9 , 27.9 , 60.3 , 39.7 , 41.4 , 23.6 , 18.7 , 9.3 , 76.5 , 38.6 , 8 , 4 , 33.3 , 68 , 5 , 7.4 
221,신민혁,23N, 4.13 , 29 , 122.0 , 518 , 2140 , 4.13 , 26.2 , 13.7 , 32.8 , 27.4 , 66.7 , 33.3 , 49.3 , 27.8 , 18.5 , 11.2 , 80.7 , 33.6 , 78 , 19 , 19.6 , 376 , 23 , 6.1 
,이로운,23S, 4.13 , 50 , 57.2 , 268 , 1107 , 4.13 , 26.4 , 17.1 , 28.7 , 27.8 , 60.3 , 39.7 , 44.4 , 25.8 , 23.2 , 12.4 , 73.3 , 38.2 , 41 , 11 , 21.2 , 337 , 31 , 9.2 
223,진승현,23롯, 4.13 , 24 , 27.2 , 129 , 533 , 4.13 , 29.0 , 18.7 , 25.7 , 26.6 , 62.1 , 37.9 , 44.1 , 22.5 , 26.4 , 13.9 , 77.9 , 33.1 , 19 , 6 , 24.0 , 172 , 14 , 8.1 
224,김민규,23두, 4.14 , 6 , 8.1 , 37 , 153 , 4.14 , 23.9 , 14.8 , 31.8 , 29.6 , 57.5 , 42.5 , 43.8 , 18.9 , 19.4 , 10.2 , 79.2 , 47.8 , 4 , 1 , 20.0 , 70 , 7 , 10.0 
225,맥카티,23S, 4.14 , 24 , 130.0 , 543 , 2246 , 4.14 , 29.5 , 15.0 , 29.0 , 26.5 , 64.1 , 35.9 , 45.2 , 23.8 , 21.3 , 11.6 , 75.3 , 35.5 , 96 , 20 , 17.2 , 492 , 26 , 5.3 
226,김상수,23롯, 4.15 , 66 , 52.0 , 218 , 905 , 4.15 , 28.3 , 14.0 , 29.4 , 28.3 , 61.7 , 38.3 , 44.2 , 24.3 , 19.5 , 10.4 , 78.2 , 40.4 , 27 , 9 , 25.0 , 208 , 16 , 7.7 
227,강재민,23한, 4.15 , 43 , 43.1 , 189 , 785 , 4.15 , 28.1 , 13.6 , 33.7 , 24.6 , 62.0 , 38.0 , 44.6 , 27.5 , 18.9 , 9.9 , 73.3 , 37.0 , 32 , 10 , 23.8 , 182 , 14 , 7.7 
228,박종훈,23S, 4.15 , 18 , 80.0 , 382 , 1587 , 4.15 , 34.7 , 9.4 , 29.1 , 26.9 , 58.0 , 42.0 , 37.9 , 21.2 , 14.3 , 6.4 , 78.9 , 38.9 , 39 , 17 , 30.4 , 511 , 26 , 5.1 
229,한재승,23N, 4.16 , 11 , 9.2 , 44 , 183 , 4.16 , 30.6 , 16.2 , 27.0 , 26.1 , 60.7 , 39.3 , 42.1 , 22.7 , 23.4 , 11.7 , 73.0 , 28.9 , 9 , 1 , 10.0 , 55 , 5 , 9.1 
