순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
,김시앙,23키C, 82 , 82 , 3 , 50.0 , 3 , 100.0 , 1 , 5.9 , 1 , 12.5 , 0 , 0.0 , 2 , 7.1 , 1 , 12.5 , 3 , 60.0 , 0 ,  , 4 , 30.8 , 6 , 14.6 , -4 
169,허도환,23LC, 81 , 81 , 10 , 83.3 , 0 ,  , 1 , 11.1 , 1 , 100.0 , 2 , 66.7 , 4 , 30.8 , 1 , 50.0 , 1 , 100.0 , 1 , 50.0 , 3 , 60.0 , 7 , 38.9 , 2 
,김주형,23키SS, 81 , 81 , 2 , 50.0 , 1 , 100.0 , 1 , 7.1 , 0 , 0.0 , 0 , 0.0 , 1 , 5.6 , 0 ,  , 1 , 100.0 , 0 ,  , 1 , 100.0 , 2 , 10.5 , -3 
,권광민,23한LF, 81 , 81 , 2 , 40.0 , 2 , 40.0 , 2 , 15.4 , 2 , 28.6 , 0 , 0.0 , 4 , 17.4 , 1 , 50.0 , 1 , 33.3 , 0 ,  , 2 , 40.0 , 6 , 21.4 , -2 
172,손성빈,23롯C, 80 , 80 , 7 , 77.8 , 1 , 33.3 , 1 , 8.3 , 0 , 0.0 , 1 , 50.0 , 2 , 11.8 , 1 , 20.0 , 5 , 71.4 , 0 , 0.0 , 6 , 42.9 , 8 , 25.8 , -2 
173,송승환,23두LF, 76 , 76 , 2 , 66.7 , 1 , 25.0 , 2 , 20.0 , 1 , 14.3 , 0 , 0.0 , 3 , 16.7 , 1 , 25.0 , 1 , 100.0 , 0 , 0.0 , 2 , 33.3 , 5 , 20.8 , 0 
174,신본기,23KSS, 75 , 75 , 5 , 71.4 , 1 , 100.0 , 1 , 10.0 , 2 , 66.7 , 4 , 80.0 , 7 , 38.9 , 1 , 16.7 , 0 ,  , 0 ,  , 1 , 16.7 , 8 , 33.3 , 2 
,전병우,23키1B, 75 , 75 , 4 , 50.0 , 1 , 50.0 , 2 , 13.3 , 4 , 57.1 , 2 , 33.3 , 8 , 28.6 , 1 , 33.3 , 2 , 100.0 , 0 , 0.0 , 3 , 50.0 , 11 , 32.4 , 2 
176,김웅빈,23키1B, 74 , 74 , 3 , 100.0 , 1 , 100.0 , 0 , 0.0 , 1 , 33.3 , 2 , 100.0 , 3 , 25.0 , 1 , 100.0 , 1 , 100.0 , 1 , 100.0 , 3 , 100.0 , 6 , 40.0 , 2 
177,주성원,23키RF, 72 , 72 , 2 , 66.7 , 3 , 75.0 , 3 , 33.3 , 2 , 40.0 , 1 , 50.0 , 6 , 37.5 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 6 , 30.0 , 1 
178,최준우,23S2B, 69 , 69 , 2 , 66.7 , 2 , 66.7 , 0 , 0.0 , 4 , 80.0 , 2 , 100.0 , 6 , 40.0 , 1 , 14.3 , 2 , 66.7 , 0 , 0.0 , 3 , 27.3 , 9 , 34.6 , 1 
179,안재석,23두SS, 68 , 68 , 2 , 33.3 , 1 , 50.0 , 2 , 22.2 , 2 , 66.7 , 2 , 33.3 , 6 , 33.3 , 1 , 50.0 , 1 , 50.0 , 0 , 0.0 , 2 , 40.0 , 8 , 34.8 , 1 
180,안상현,23S2B, 66 , 66 , 3 , 75.0 , 1 , 100.0 , 0 , 0.0 , 1 , 20.0 , 0 , 0.0 , 1 , 8.3 , 0 , 0.0 , 2 , 66.7 , 0 ,  , 2 , 28.6 , 3 , 15.8 , -3 
,한석현,23NLF, 66 , 66 , 3 , 60.0 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 1 , 16.7 , 1 , 25.0 , 0 , 0.0 , 2 , 18.2 , 2 , 8.3 , -6 
182,이상호,23K2B, 60 , 60 , 5 , 83.3 , 0 , 0.0 , 0 , 0.0 , 1 , 33.3 , 0 ,  , 1 , 8.3 , 0 , 0.0 , 2 , 66.7 , 1 , 100.0 , 3 , 50.0 , 4 , 22.2 , -1 
183,류승민,23삼RF, 57 , 57 , 2 , 66.7 , 0 ,  , 2 , 28.6 , 1 , 25.0 , 0 , 0.0 , 3 , 25.0 , 2 , 50.0 , 3 , 100.0 , 0 , 0.0 , 5 , 62.5 , 8 , 40.0 , 3 
,박주홍,23키1B, 57 , 57 , 2 , 50.0 , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 2 , 50.0 , 2 , 11.8 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 2 , 10.0 , -5 
185,최정원,23N2B, 56 , 56 , 4 , 66.7 , 0 ,  , 2 , 33.3 , 0 , 0.0 , 1 , 33.3 , 3 , 30.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 0 , 0.0 , 3 , 20.0 , 0 
186,정준영,23KCF, 55 , 55 , 5 , 55.6 , 1 , 100.0 , 2 , 25.0 , 3 , 50.0 , 1 , 25.0 , 6 , 33.3 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 , 7 , 33.3 , 0 
,김태근,23두RF, 55 , 55 , 4 , 57.1 , 0 , 0.0 , 0 , 0.0 , 1 , 20.0 , 1 , 25.0 , 2 , 15.4 , 0 ,  , 0 ,  , 0 ,  , 0 ,  , 2 , 15.4 , -3 
188,김찬형,23S3B, 53 , 53 , 4 , 100.0 , 1 , 50.0 , 1 , 12.5 , 1 , 50.0 , 0 ,  , 2 , 20.0 , 0 , 0.0 , 1 , 50.0 , 0 , 0.0 , 1 , 20.0 , 3 , 20.0 , -1 
,유로결,23한RF, 53 , 53 , 4 , 80.0 , 1 , 25.0 , 0 , 0.0 , 1 , 20.0 , 2 , 66.7 , 3 , 18.8 , 0 , 0.0 , 1 , 50.0 , 0 ,  , 1 , 20.0 , 4 , 19.1 , -2 
190,홍성호,23두RF, 51 , 51 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 0 , 0.0 , 3 , 75.0 , 2 , 100.0 , 2 , 100.0 , 7 , 87.5 , 7 , 43.8 , 2 
,김민수,23롯3B, 51 , 51 , 1 , 25.0 , 1 , 100.0 , 0 , 0.0 , 1 , 33.3 , 0 , 0.0 , 1 , 9.1 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 , 2 , 14.3 , -3 
192,박수종,23키RF, 50 , 50 , 1 , 50.0 , 1 , 50.0 , 0 , 0.0 , 0 , 0.0 , 1 , 50.0 , 1 , 11.1 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 1 , 6.3 , -4 
193,이재원,23SC, 48 , 48 , 3 , 42.9 , 0 ,  , 2 , 18.2 , 0 , 0.0 , 1 , 25.0 , 3 , 16.7 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 15.8 , -2 
194,정대선,23롯2B, 47 , 47 , 4 , 80.0 , 0 ,  , 0 , 0.0 , 1 , 14.3 , 2 , 66.7 , 3 , 16.7 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 33.3 , 4 , 19.1 , -2 
195,손호영,23LSS, 45 , 45 , 1 , 100.0 , 1 , 100.0 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 2 , 33.3 , 1 , 33.3 , 0 ,  , 3 , 33.3 , 3 , 15.8 , -2 
196,윤정빈,23삼1B, 43 , 43 , 0 , 0.0 , 0 ,  , 2 , 66.7 , 1 , 50.0 , 0 , 0.0 , 3 , 50.0 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 42.9 , 2 
197,이명기,23한DH, 42 , 42 , 2 , 100.0 , 0 ,  , 2 , 33.3 , 1 , 50.0 , 2 , 100.0 , 5 , 50.0 , 0 , 0.0 , 1 , 100.0 , 0 ,  , 1 , 50.0 , 6 , 50.0 , 2 
198,최상민,23SCF, 41 , 41 , 5 , 100.0 , 0 ,  , 2 , 28.6 , 1 , 25.0 , 2 , 100.0 , 5 , 38.5 , 0 , 0.0 , 0 , 0.0 , 0 ,  , 0 , 0.0 , 5 , 29.4 , 0 
,최정용,23K2B, 41 , 41 , 3 , 60.0 , 0 , 0.0 , 0 , 0.0 , 3 , 50.0 , 0 , 0.0 , 3 , 18.8 , 0 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 , 3 , 17.7 , -1 
