순,이름,팀/포지션,정렬용,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책
33,장준원,23KSS, 0.54 , 104 , 0.54 , 3 , 0 , 100.0 , 37 , 8.1 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 2 , 0 , 0 
34,전준우,23롯DH, 0.51 , 559 , 0.51 , 9 , 2 , 81.8 , 217 , 5.1 , 2 , 9 , 0 , 0 , 2 , 1 , 1 , 0 , 50.0 , 90.0 , 0.0 ,  , 0 , 0 , 11 , 2 , 0 
35,김동진,23삼2B, 0.51 , 137 , 0.51 , 3 , 0 , 100.0 , 58 , 5.2 , 2 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 1 , 1 , 0 , 0 
36,양석환,23두1B, 0.42 , 581 , 0.42 , 4 , 0 , 100.0 , 179 , 2.2 , 1 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 3 , 2 , 1 
37,강백호,23KDH, 0.41 , 271 , 0.41 , 3 , 0 , 100.0 , 96 , 3.1 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 3 , 0 , 1 
38,강민호,23삼C, 0.40 , 495 , 0.40 , 6 , 1 , 85.7 , 175 , 4.0 , 2 , 4 , 2 , 0 , 0 , 1 , 0 , 0 , 100.0 , 80.0 , 100.0 ,  , 0 , 0 , 4 , 0 , 1 
39,장두성,23롯CF, 0.39 , 15 , 0.39 , 2 , 0 , 100.0 , 18 , 11.1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 1 , 0 , 0 , 0 
,최경모,23S3B, 0.39 , 20 , 0.39 , 2 , 0 , 100.0 , 17 , 11.8 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 0 , 0 , 0 , 0 
41,이상호,23K2B, 0.38 , 60 , 0.38 , 2 , 0 , 100.0 , 46 , 4.4 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 1 , 1 , 1 
42,김태연,23한RF, 0.38 , 280 , 0.38 , 5 , 1 , 83.3 , 99 , 6.1 , 0 , 5 , 0 , 0 , 0 , 1 , 0 , 0 ,  , 83.3 ,  ,  , 0 , 0 , 7 , 1 , 1 
43,안재석,23두SS, 0.37 , 68 , 0.37 , 2 , 0 , 100.0 , 21 , 9.5 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 2 , 1 , 0 , 0 
44,권광민,23한LF, 0.36 , 81 , 0.36 , 2 , 0 , 100.0 , 25 , 8.0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 ,  ,  , 0 , 0 , 2 , 0 , 0 
